,product,item_code,store,brand,url,price,item description,image url
0,Մատանի «DF Project» արծաթյա №14,N:051649,DF project,DF Project,https://4u.am/hy/product/matani-df-project-arcatya-no14,9000,"925 հարգի արծաթյա մատանի:
Չափը՝ կարգավորվող:
Քարը՝ օնիքս։
Քաշը՝ 3.5 գ։",https://static.4u.am/origin/product/1024/dejhlp-iRIAG78l4.jpg
1,Բրոշ «LilmArt» աստղ,N:006014,LilmArt,,https://4u.am/hy/product/bros-lilmart-astg,4400,"Բրոշը ամբոջությամբ ձեռքի աշխատանք է:


Քարերը`բյուրեղ:


Երկարությունը` 4 սմ: 


Կարող եք պատվիրել Ձեր ցանկացած չափի:",https://static.4u.am/origin/product/1024/0sTXJB1jHm82-zwM.jpg
2,Թևնոց «SOKOLOV» 94050369,N:074276,Charm.am,,https://4u.am/hy/product/tevnoc-sokolov-94050369,13900,"Ապրանքանիշ` SOKOLOV
Մետաղը՝ 925 հարգի արծաթ՝ ռոդիումապատ",https://static.4u.am/origin/product/1024/5uIfr0JyNob8-wzp.jpg
3,Ականջօղեր «DF Project» լուսածին արծաթյա,N:000719,DF project,DF Project,https://4u.am/hy/product/akanjoger-df-project-lusacin-arcatya,20000,"Նյութը՝ արծաթ, 925 հարգի:",https://static.4u.am/origin/product/1024/NqO4ttU4pr8OMTUF.jpg
4,Կախազարդ «Less is more» ոսկյա աղոթագիրք №1,N:018212,Less is more,Less is more,https://4u.am/hy/product/kaxazard-u-sgta-oskya-54,95200,"Ոսկյա կախազարդ` աղոթագիրք:
Քաշը` 3 գրամ:

Շղթան ներառված չէ արժեքում:",https://static.4u.am/origin/product/1024/jROTFWKqA28on79R.jpg
5,"Ականջօղեր «DF Project» փետուր, արծաթյա №6",N:051648,DF project,DF Project,https://4u.am/hy/product/akanjoger-df-project-petur-arcatya-no6,16000,"Նյութը՝ 925 հարգի արծաթ:
Քաշը՝ 5.5 գրամ։",https://static.4u.am/origin/product/1024/YQVM7SL1-nzwAjXP.jpg
6,Վզնոց «Oliver Weber»  11056R,00-00006571,Time,Oliver Weber,https://4u.am/hy/product/vznoc-oliver-weber-11056r,22600,"Ապրանքանիշ` Oliver Weber
Սեռ` կանացի
Necklace Չափերը (սմ)`  42-3
Երկիր` Ավստրիա
Բյուրեղ1` Swarovski բյուրեղ
Նյութը` 925 հարգի արծաթ
Նյութը 2` ռոդիումապատ
Նյութի գույնը` արծաթագույն
Pendant Նյութը 1` ռոդիումապատ
Pendant Գույն` արծաթագույն
Pendant Ձևը` շրջանաձև
Pendant Չափերը (սմ)`   0.8x0.8
Զարդերի համար երաշխիք չի տրվում:",https://static.4u.am/origin/product/1024/lpyncLyRZnIvFwjH.jpg
7,Մատանի «Kara Silver» Քամելեոն,N:014322,Kara silver,Kara Silver,https://4u.am/hy/product/matani-kara-silver-kameleon,65000,"Թաթի մասում կարգավորվող չափսերով արծաթե մատանի (925 հարգ) քամելեոնի տեսքով, նախատեսված է 2 մատի համար, կորպուսի շարժական դետալներով և սև ցիրկոններով աչքերով:",https://static.4u.am/origin/product/1024/ep8r6B6ZVXHXxuVB.jpg
8,Թևնոց  «Ti Sento» 2670PW,2670PW,Time,Ti Sento,https://4u.am/hy/product/tevnoc-ti-sento-2670pw,18300,"Ապրանքանիշ` Ti Sento
Սեռ` կանացի
Ապրանքի անվանում` Ti Sento Bracelet / 2670PW
Երկիր` Հոլանդիա


Նյութը 2` ռոդիումապատ

Նյութի գույնը 2` արծաթագույն

ՈՒլունքի նյութը` մարգարիտ
Ուլունքի գույնը` սպիտակ
Զարդերի համար երաշխիք չի գործում",https://static.4u.am/origin/product/1024/kX89tNGt2I1lvPfa.jpg
9,Մատանի «Har Jewelry» արծաթյա №15,N:000925,Har jewellery,Har Jewelry,https://4u.am/hy/product/matani-har-jewelry-arcatya-no15,8700,"Նյութը՝  925 հարգի արծաթ, քաշը` 4,8 գ:",https://static.4u.am/origin/product/1024/5YqoFbb8fWhuhbU_.jpg
10,Բրոշ «Phantom» վարդ,N:019583,Phantom.am,,https://4u.am/hy/product/bros-phantom-vard,20000,Բրոշը պատրաստված է 925 հարգի արծաթից:,https://static.4u.am/origin/product/1024/3X7ChGi4o_EStjRu.jpg
11,Ականջօղեր «Tamama» DOA net Cuffs,N:074674,Tamama,Tamama,https://4u.am/hy/product/akanjoger-tamama-doa-net-cuffs,10500,"Թրենդային ականջօղեր`caffs, պատրաստված 925 հարգի արծաթից։",https://static.4u.am/origin/product/1024/muFGd41JJdWKgFyY.jpg
12,Մատանի «DF Project» արծաթյա №17,N:051652,DF project,DF Project,https://4u.am/hy/product/matani-df-project-arcatya-no17,16000,"925 հարգի արծաթյա մատանի:
Չափը՝ կարգավորվող:
Քարը՝ օնիքս։
Քաշը՝ 6 գ։",https://static.4u.am/origin/product/1024/Zv0wp9wIQgvYdUyH.jpg
13,Բրոշ «LilmArt» ձեռագործ փիրուզ,N:001008,LilmArt,,https://4u.am/hy/product/bros-lilmart-jeragorc-piruz,8500,"Ձեռագործ բրոշ փիրուզով և չեխական բյուրեղներից:


Թևերի բացվածքը` 9 սմ:",https://static.4u.am/origin/product/1024/clTue1AVOpw3O0ti.jpg
14,Մատանի «Har Jewelry» արծաթյա №12,N:000922,Har jewellery,Har Jewelry,https://4u.am/hy/product/matani-har-jewelry-arcatya-no12,11300,"Նյութը՝  925 հարգի արծաթ,քաշը 5,5 գ,:",https://static.4u.am/origin/product/1024/CmJ-wrEtw5KG_ObU.jpg
15,Բրոշ «LilmArt» բալ,N:006019,LilmArt,,https://4u.am/hy/product/bros-lilmart-bal,11000,"Բրոշը ամբոջությամբ ձեռքի աշխատանք է:


Քարերը`Սվարովսկի մարգարիտ, բյուրեղ, կանիտել, ճապոնական թեփուկ:


Երկարությունը` 8 սմ: 


Կարող եք պատվիրել Ձեր ցանկացած չափի:",https://static.4u.am/origin/product/1024/e-5EdKZNK4kQDSl8.jpg
16,Վզնոց «Oliver Weber»  11025RG,00-00006524,Time,Oliver Weber,https://4u.am/hy/product/vznoc-oliver-weber-11025rg,17200,"Ապրանքանիշ` Oliver Weber
Սեռ` կանացի
Necklace Չափերը (սմ)` 42-3
Երկիր` Ավստրիա
Բյուրեղ1` Swarovski բյուրեղ
Նյութը` 925 հարգի արծաթ
Նյութը 2` ռոդիումապատ
Նյութի գույնը` վարդագույն ոսկի
Pendant Նյութը 1` ռոդիումապատ
Pendant Գույն` վարդագույն ոսկի
Pendant Ձևը` շրջանաձև
Pendant Չափերը (սմ)`   1x1
Զարդերի համար երաշխիք չի տրվում:",https://static.4u.am/origin/product/1024/9F42w3POUZybfT3D.jpg
17,Թևնոց «Brosway» BHK16,BHK16,Time,Brosway,https://4u.am/hy/product/tevnoc-brosway-bhk16,23400,"Ապրանքանիշ` Brosway
Սեռ` կանացի
Ապրանքի անվանում` Brosway Bracelet / BHK16
Երկիր` Իտալիա
Բյուրեղ1` Swarovski բյուրեղ
Նյութը` չժանգոտվող բժշկական պողպատ
Նյութի գույնը` արծաթագույն
Զարդերի համար երաշխիք չի գործում",https://static.4u.am/origin/product/1024/ACQjCcShNccbun9q.jpg
18,"Մատանի «Tamama» արծաթյա, Վան M004",N:074567,Tamama,Tamama,https://4u.am/hy/product/matani-tamama-arcatya-van-m004,6500,"925 հարգի արծաթյա մատանի:
Չափը՝ կարգավորվող:
Քաշը՝ 2.82 գ։",https://static.4u.am/origin/product/1024/HT8U3xg4AsuYzTQ2.jpg
19,Թևնոց «LilmArt» ձեռագործ №1,N:001026,LilmArt,,https://4u.am/hy/product/tevnoc-lilmart-jeragorc-no1,9900,"Ձեռագործ թևնոցը պատրաստված է սուտաժից:


Քարերը` ապակի:


Երկարությունը` 6.5 սմ: 


Կարող եք պատվիրել Ձեր ցանկացած չափի:",https://static.4u.am/origin/product/1024/-p6f99YjaMMCq15J.jpg
